external_gene_name	CAI	CBI	Fop	L_aa	tAI
ZNF717	0.237	-0.204	0.368	864	0.31687111042312
INSYN2B	0.292	-0.013	0.463	535	0.315546003370869
KRTAP25-1	0.242	-0.215	0.364	102	0.307370746504501
ZNF705G	0.227	-0.21	0.353	300	0.316771344283116
TEX13D	0.401	0.21	0.582	714	0.319112377645179
FAM240A	0.323	0.087	0.5	89	0.317141138608264
NPIPB5	0.325	0.105	0.516	1133	0.274260683749026
FAM236B	0.372	0.143	0.539	79	0.331682092950387
KRTAP4-9	0.636	0.585	0.785	210	0.39065090324048
ZNF705G	0.226	-0.214	0.351	300	0.318545551339628
ZNF705B	0.226	-0.214	0.351	300	0.318545551339628
GAGE12D	0.256	-0.288	0.342	117	0.31941008536597
NBPF10	0.266	-0.073	0.426	3795	0.332644591434036
CLDN24	0.28	0.078	0.495	220	0.317909891272169
KRTAP4-7	0.651	0.61	0.797	155	0.389633632851022
GOLGA8F	0.343	0.121	0.533	648	0.334384881986629
SHISAL2B	0.309	0.12	0.532	160	0.352540938656772
SMIM9	0.217	-0.105	0.389	99	0.301216676002777
CXorf49B	0.44	0.332	0.649	514	0.314830513042069
CXorf51B	0.305	0	0.472	108	0.301067131594802
FAM25G	0.457	0.319	0.644	89	0.371004364777763
PRR23D1	0.314	0.046	0.487	279	0.294793011810265
PRR23D2	0.314	0.046	0.487	279	0.294793011810265
DEFB130B	0.173	-0.355	0.263	79	0.303048830827074
CD24	0.374	0.239	0.603	129	0.286633637172002
KCNJ18	0.69	0.749	0.865	433	0.352277348224276
TEN1	0.45	0.444	0.701	123	0.341510792560616
UPK3BL1	0.497	0.498	0.729	263	0.320354415700203
JMJD7	0.519	0.489	0.728	316	0.341771033647714
PLA2G4B	0.52	0.503	0.733	781	0.331142951143488
HDAC5	0.514	0.48	0.723	1123	0.336655094792243
C17orf99	0.519	0.502	0.735	265	0.332618764990026
CTAGE8	0.187	-0.375	0.265	777	0.310290082488952
KLLN	0.394	0.309	0.627	178	0.283886516113695
PDCD6IP	0.234	-0.214	0.357	873	0.342375757941528
KRTAP20-4	0.359	0.053	0.5	44	0.377854611339731
PDCD6	0.503	0.497	0.731	191	0.351501950978314
PATE3	0.308	0.104	0.511	98	0.349849371996377
BCL2L10	0.493	0.549	0.754	241	0.301954013660249
SRRM5	0.327	0.097	0.516	715	0.258639396038072
ERICH4	0.503	0.419	0.685	130	0.321084718418162
EPOP	0.536	0.551	0.762	379	0.278544817699034
BCL2L11	0.285	-0.053	0.436	198	0.298510338339637
TOMM6	0.297	0.048	0.486	74	0.314977801092912
SH2B3	0.562	0.582	0.776	575	0.303035158128513
C5orf52	0.392	0.354	0.654	159	0.305174459307025
C2CD4D	0.636	0.747	0.862	353	0.27450712154503
CDH4	0.573	0.596	0.785	916	0.345176596808106
GNE	0.266	-0.057	0.429	753	0.329111704366588
HCN4	0.59	0.624	0.799	1203	0.317764433600845
INSL5	0.259	-0.049	0.438	135	0.322392363200489
FRAT1	0.553	0.62	0.794	279	0.294764000716729
TROAP	0.342	0.115	0.527	778	0.294241949863879
MED16	0.667	0.746	0.862	877	0.326665933518024
PIGK	0.2	-0.313	0.296	395	0.309084082741261
ARHGEF33	0.359	0.193	0.571	870	0.333598398028321
ERVV-2	0.254	-0.057	0.436	535	0.309093013124925
MEF2B	0.505	0.461	0.71	368	0.295490681589373
RASA4B	0.665	0.722	0.85	757	0.335995637524192
CMC4	0.277	-0.049	0.455	68	0.385684870972031
FAM90A26	0.389	0.237	0.596	464	0.308487607900119
USP17L10	0.331	0.127	0.535	530	0.339748002461728
WASHC1	0.513	0.453	0.71	465	0.338458545149698
USP17L11	0.342	0.155	0.551	530	0.341107159300076
USP17L12	0.337	0.147	0.546	530	0.341648572648838
ZNF729	0.206	-0.365	0.286	1252	0.340606204660809
USP17L13	0.335	0.141	0.543	530	0.340678812332309
MANSC4	0.25	-0.115	0.404	340	0.310821460709751
USP17L17	0.337	0.144	0.545	530	0.342233182219359
USP17L18	0.341	0.151	0.549	530	0.341583844102178
POTEB2	0.218	-0.209	0.354	544	0.339385749316079
USP17L19	0.337	0.144	0.545	530	0.340286098329297
USP17L20	0.341	0.155	0.551	530	0.340882680564889
USP17L21	0.338	0.15	0.548	530	0.341962362043714
SMKR1	0.41	0.262	0.613	65	0.379168583156156
USP17L22	0.34	0.151	0.549	530	0.341398784432147
GLYATL1B	0.287	0.015	0.472	302	0.337970911960649
ANKRD66	0.302	-0.007	0.462	251	0.328101493105995
TTC34	0.563	0.59	0.776	566	0.334327690090752
TIMM23	0.225	-0.192	0.36	209	0.301330294669586
NBPF20	0.258	-0.1	0.412	5207	0.327938499177736
KRTAP22-2	0.316	-0.007	0.477	45	0.408825957495359
KRTAP21-3	0.231	-0.337	0.316	58	0.373168010060043
NPIPA5	0.272	-0.051	0.433	350	0.303514371988274
USP17L15	0.335	0.142	0.543	559	0.338386255895873
DUX4	0.519	0.548	0.759	424	0.297084703073057
LIMS4	0.497	0.403	0.687	117	0.384006955765549
TMEM239	0.487	0.493	0.722	195	0.291849556599372
FRG2C	0.341	0.072	0.513	282	0.326841128272572
CLDN34	0.322	0.166	0.553	214	0.327614579811385
TSPY10	0.464	0.375	0.667	308	0.345940310803008
TMEM225B	0.423	0.387	0.668	221	0.335652348867784
DEFB4A	0.221	-0.194	0.355	64	0.292410776375509
DEFB4B	0.221	-0.194	0.355	64	0.292410776375509
ZNF605	0.234	-0.189	0.368	672	0.319912669201474
ZNF783	0.602	0.611	0.792	546	0.330456884415084
ZNF587B	0.287	-0.064	0.442	402	0.328244622343133
CDH5	0.515	0.478	0.723	784	0.34517228148774
ASB3	0.203	-0.248	0.325	556	0.321889022214574
TMED7-TICAM2	0.251	-0.113	0.41	404	0.320836647373817
PET117	0.257	0.004	0.449	81	0.342667163462805
SPDYE2B	0.43	0.366	0.655	402	0.316620972345605
ANKRD61	0.3	0.11	0.515	418	0.325261695111574
SAP25	0.512	0.45	0.71	297	0.283387179007388
TRPC5OS	0.129	-0.445	0.213	111	0.275958269981876
CHAF1A	0.452	0.382	0.672	956	0.334611866957807
PARP2	0.27	-0.052	0.438	583	0.342725304350536
ZBED6	0.211	-0.263	0.328	979	0.313661189687624
PARP3	0.542	0.514	0.742	540	0.357628331517218
CDH6	0.289	-0.011	0.461	790	0.32440708295176
TOM1L1	0.243	-0.166	0.38	476	0.330058746502211
HMGXB4	0.282	-0.053	0.446	601	0.32956455624611
IGLL5	0.495	0.435	0.702	214	0.303988066665674
TOM1	0.506	0.461	0.712	493	0.328843315691511
KLRF2	0.228	-0.177	0.371	207	0.322027606451434
SH2D3C	0.537	0.514	0.741	860	0.311890127280531
SH2D3A	0.457	0.404	0.676	576	0.294080048957852
MAMLD1	0.367	0.16	0.558	998	0.319964294887423
CST8	0.328	0.143	0.537	142	0.367325492983373
RANBP9	0.255	-0.089	0.427	729	0.298914082811239
DNAJB6	0.287	-0.036	0.456	326	0.298992635266033
CCDC180	0.404	0.288	0.618	1701	0.344277391917235
CDH7	0.279	-0.042	0.444	785	0.327704184846447
SLC17A4	0.274	-0.002	0.457	497	0.326980247214088
CCDC179	0.232	-0.24	0.328	68	0.301015021210098
IQCJ-SCHIP1	0.396	0.272	0.614	563	0.319925039276312
TEX48	0.367	0.224	0.585	120	0.350243907051358
INAFM2	0.647	0.794	0.893	153	0.302801676827252
LRRC3C	0.478	0.446	0.702	275	0.319113737228131
KRTAP9-7	0.63	0.542	0.766	169	0.395632316245588
SPATA1	0.166	-0.4	0.244	459	0.325645593354027
KRTAP16-1	0.422	0.201	0.588	517	0.353878824176505
CEBPZOS	0.211	-0.28	0.32	80	0.324790031044645
SMIM31	0.233	-0.167	0.377	71	0.356027520278186
TMEM210	0.411	0.336	0.641	147	0.322416280688565
PPP5D1P	0.453	0.395	0.677	171	0.343607921518618
APELA	0.188	-0.243	0.3	54	0.280321784345999
LRRC72	0.204	-0.241	0.324	287	0.295433508018379
ARL17B	0.287	-0.027	0.453	181	0.299510831288534
ARL17A	0.287	-0.027	0.453	181	0.299510831288534
GVQW3	0.233	-0.138	0.387	254	0.312342383944444
TMEM35B	0.42	0.407	0.673	154	0.34162434029167
HSFX1	0.359	0.144	0.548	423	0.311083884555501
KRBOX1	0.254	-0.085	0.417	128	0.330777745406758
MISFA	0.268	-0.059	0.423	59	0.316550374226443
THEGL	0.272	-0.07	0.425	465	0.304618381934132
C16orf95	0.44	0.375	0.662	239	0.318207606630202
OCLN	0.256	-0.142	0.394	522	0.338125987360125
SLFN12L	0.219	-0.231	0.344	617	0.344978510774309
GFY	0.396	0.192	0.574	518	0.297924847231154
MRLN	0.113	-0.541	0.136	46	0.291151344632192
TPBGL	0.753	0.894	0.941	382	0.30193516086902
LRCOL1	0.676	0.724	0.851	159	0.360368500051556
GIMD1	0.271	-0.043	0.442	217	0.331591808203983
CT47A12	0.509	0.49	0.734	288	0.33267931816315
SMLR1	0.386	0.28	0.606	107	0.325069355946701
ZNF865	0.69	0.776	0.882	1059	0.327262289311205
SMIM18	0.244	-0.087	0.422	95	0.363875131880065
TMEM178B	0.523	0.55	0.754	294	0.334679270380368
MICA	0.376	0.195	0.571	332	0.328142312881907
CCDC28A-AS1	0.339	0.145	0.544	108	0.304608622125703
STRIT1	0.23	-0.065	0.406	35	0.33337060576828
TGFBR3L	0.582	0.636	0.805	316	0.270271746977943
NPIPB9	0.265	-0.09	0.41	429	0.301486024996643
KRTAP9-6	0.6	0.503	0.747	160	0.400013130045538
RNF212B	0.259	-0.132	0.399	300	0.302585522740752
MUC22	0.373	0.07	0.526	1773	0.265257714264845
SMC4	0.172	-0.378	0.262	1288	0.330631431877278
GJC1	0.334	0.103	0.521	396	0.344997829566473
LY75-CD302	0.218	-0.263	0.331	1873	0.317498231483258
ARPC4-TTLL3	0.489	0.428	0.693	625	0.343305993096295
RBM14-RBM4	0.425	0.319	0.639	339	0.329401522818508
CENPS-CORT	0.348	0.167	0.555	164	0.320793072219875
ATP5MF-PTCD1	0.514	0.502	0.732	749	0.339802043928764
CCDC169-SOHLH2	0.223	-0.178	0.37	502	0.326861565770498
RNF103-CHMP3	0.3	0.034	0.485	251	0.344234493654715
STIMATE-MUSTN1	0.458	0.448	0.703	372	0.33207632547045
EPPIN-WFDC6	0.282	-0.028	0.459	179	0.372268944443954
ARPIN-AP3S2	0.424	0.328	0.639	394	0.347550985081539
NT5C1B-RDH14	0.36	0.212	0.577	602	0.312561880897691
FPGT-TNNI3K	0.213	-0.227	0.339	949	0.318767026359487
RPL17-C18orf32	0.25	-0.09	0.419	228	0.324115186071882
TGIF2-RAB5IF	0.369	0.292	0.612	155	0.33392658535818
GIMAP1-GIMAP5	0.409	0.321	0.633	511	0.335446371706494
PMF1-BGLAP	0.377	0.205	0.578	220	0.331133450882278
TLCD4-RWDD3	0.25	-0.094	0.409	201	0.323529533495108
SAA2-SAA4	0.304	0.107	0.523	208	0.331191251947124
FAM187A	0.5	0.449	0.705	413	0.338619987014545
ST20-MTHFS	0.327	0.126	0.529	179	0.343135371165571
POC1B-GALNT4	0.241	-0.137	0.387	575	0.320389123423047
BCL2L2-PABPN1	0.369	0.167	0.558	333	0.316775899579133
CORO7-PAM16	0.526	0.502	0.733	1048	0.323571650558069
ZNF559-ZNF177	0.275	-0.067	0.434	120	0.342467776275708
ZNF177	0.275	-0.067	0.434	120	0.342467776275708
ZNF816-ZNF321P	0.241	-0.17	0.372	233	0.325945066966728
HSPE1-MOB4	0.166	-0.481	0.214	261	0.315200720159246
CKLF-CMTM1	0.268	0.073	0.494	168	0.312823091592521
SYNJ2BP-COX16	0.28	0	0.461	182	0.334598116436908
AP1M2	0.527	0.541	0.754	425	0.345942062797693
NDUFC2-KCTD14	0.318	0.121	0.519	134	0.309676323656036
COMMD3-BMI1	0.227	-0.178	0.367	469	0.309870432927692
ZHX1-C8orf76	0.25	-0.149	0.383	292	0.334157915317233
KRTAP29-1	0.308	-0.102	0.437	341	0.355551035823689
FXYD6-FXYD2	0.451	0.427	0.688	144	0.346975296938495
TVP23C-CDRT4	0.217	-0.185	0.359	164	0.296692083472742
RBAK-RBAKDN	0.355	0.077	0.519	113	0.334178995319323
URGCP-MRPS24	0.241	-0.151	0.383	110	0.27090343534003
ISY1-RAB43	0.279	-0.05	0.436	331	0.329803787624758
UBA2	0.223	-0.193	0.363	640	0.328725645448276
SAE1	0.321	0.076	0.509	346	0.345833225175096
FARSB	0.222	-0.212	0.347	589	0.327379140012018
ABCC5	0.356	0.21	0.572	1437	0.333216209820908
ABCB6	0.447	0.384	0.664	842	0.3375385445886
DNM1L	0.192	-0.293	0.299	749	0.315428206161601
CDH8	0.227	-0.175	0.37	799	0.311833158857835
ABCC9	0.223	-0.162	0.368	1549	0.314509482624865
ABCF2	0.37	0.204	0.57	634	0.334223842579682
NR1H3	0.478	0.42	0.688	453	0.328285888956275
COX17	0.384	0.223	0.59	63	0.344090843689428
FAM47E-STBD1	0.362	0.192	0.566	351	0.338539317630085
TIMM23B	0.252	-0.125	0.403	188	0.316912192852231
KIAA2012	0.299	0.014	0.473	1181	0.320361292806581
CEP295NL	0.343	0.153	0.544	621	0.322024128316144
SCAMP2	0.47	0.401	0.681	329	0.34617146202564
SCAMP3	0.416	0.284	0.62	347	0.34697612097282
IL18BP	0.468	0.427	0.693	199	0.313228829929354
RWDD2B	0.242	-0.129	0.399	319	0.322031005717815
CDH9	0.212	-0.245	0.335	789	0.310772712628718
MUC12	0.33	0.005	0.487	5335	0.240152390992955
DPP3	0.518	0.494	0.729	737	0.347042721927924
SNUPN	0.331	0.092	0.519	360	0.337775878621672
HUWE1	0.301	0.033	0.481	4374	0.314681127271538
PTPRU	0.578	0.586	0.778	1446	0.3376335915603
TSPAN32	0.501	0.497	0.728	320	0.326981266263906
TSSC4	0.496	0.427	0.7	329	0.297367877903113
ATP9A	0.458	0.437	0.696	1047	0.343538424653731
CDH10	0.227	-0.209	0.35	788	0.314537965901561
PDCD7	0.417	0.335	0.639	485	0.297432533410604
GPC6	0.372	0.216	0.581	555	0.341032866082416
MYZAP	0.294	0.066	0.496	466	0.339780025442258
USH1C	0.425	0.318	0.634	899	0.334010290943331
PQBP1	0.426	0.319	0.637	265	0.309705180603844
EDIL3	0.239	-0.192	0.368	480	0.331537316969168
FSBP	0.182	-0.311	0.29	299	0.301527788617448
CYP3A7-CYP3A51P	0.254	-0.081	0.416	535	0.317507967633754
TMEM265	0.459	0.414	0.676	108	0.349002608370629
CERT1	0.238	-0.161	0.384	752	0.307891650052407
PTGES3L	0.334	0.053	0.5	161	0.33689029800534
PTGES3L-AARSD1	0.369	0.208	0.577	586	0.3284125442437
KCNK7	0.464	0.433	0.69	307	0.318439609818501
CDH11	0.347	0.134	0.54	796	0.336996889625411
UST	0.379	0.249	0.593	406	0.333314996967395
ARPC5	0.343	0.148	0.55	154	0.354862364483885
ARPC4	0.455	0.385	0.669	187	0.358698459910823
ARPC3	0.259	-0.149	0.388	178	0.35862381969337
ARPC1B	0.626	0.651	0.815	372	0.350489012381859
ACTR3	0.2	-0.333	0.287	418	0.314256444184362
ACTR2	0.212	-0.21	0.347	399	0.329489297384718
TSPAN5	0.28	0.002	0.463	268	0.346163074588777
TSPAN3	0.315	0.091	0.51	253	0.358994869592183
POTEB	0.218	-0.209	0.354	544	0.339385749316079
CTXND1	0.622	0.727	0.855	59	0.337862958097811
TCP11X2	0.275	0.004	0.459	407	0.316621842163945
NOTCH2NLC	0.372	0.116	0.543	236	0.356126001855264
NPY4R2	0.546	0.579	0.772	375	0.353978625475037
NOTCH2NLB	0.353	0.073	0.521	249	0.35586035655943
FMC1-LUC7L2	0.232	-0.113	0.392	458	0.290730183023819
PYURF	0.372	0.258	0.595	114	0.297372462828787
ADAM8	0.577	0.58	0.778	824	0.344665952243261
CDH12	0.24	-0.135	0.394	794	0.313644257925215
TSPAN2	0.307	0.127	0.528	221	0.329618544495858
NUBP2	0.624	0.692	0.835	271	0.327196484848295
TSFM	0.31	0.112	0.526	346	0.329292684658076
TSPAN1	0.411	0.289	0.623	241	0.382398374719762
PPIF	0.561	0.567	0.771	207	0.336106344907415
GOLGA8R	0.328	0.103	0.521	631	0.339544426752803
NPIPA7	0.274	-0.052	0.432	369	0.300741397539085
NPIPA8	0.274	-0.052	0.432	369	0.300741397539085
CTDSP2	0.459	0.389	0.67	271	0.345907211119464
ZNF891	0.209	-0.301	0.312	544	0.329863246100615
CT45A7	0.227	-0.263	0.328	189	0.327364564240857
NBPF19	0.262	-0.087	0.418	3843	0.333067689173385
OPN1MW3	0.528	0.516	0.743	364	0.353056419370319
HNRNPCL4	0.315	0.026	0.49	293	0.356318995592612
TBC1D3B	0.411	0.321	0.635	549	0.317583774794928
TBC1D3G	0.411	0.321	0.635	549	0.317583774794928
TBC1D3K	0.412	0.322	0.636	549	0.318171073380604
TBC1D3L	0.409	0.319	0.634	549	0.316396256189038
TBC1D3D	0.41	0.319	0.634	549	0.316809767599719
TRIM10	0.428	0.339	0.643	481	0.336061328808811
ARPC2	0.34	0.12	0.532	300	0.341466469742959
SGK2	0.43	0.323	0.639	427	0.335322999665613
RAD50	0.195	-0.277	0.31	1312	0.334705922563299
KIF20A	0.302	0.08	0.505	890	0.329943790435715
PREB	0.405	0.306	0.627	417	0.328413221424383
HIPK3	0.21	-0.291	0.316	1215	0.308093071610539
FEM1B	0.249	-0.075	0.42	627	0.341000738474219
ENAM	0.219	-0.321	0.309	1142	0.31038998254879
CDH13	0.342	0.123	0.534	760	0.326805895189903
ACTR1B	0.499	0.49	0.727	376	0.338150899462179
ACTR1A	0.387	0.248	0.595	376	0.334922571702032
ARL4C	0.744	0.847	0.918	201	0.374664813271415
ARL4A	0.197	-0.283	0.307	200	0.307875858523969
RASGRP1	0.329	0.102	0.519	797	0.333242198561126
DNAL4	0.576	0.546	0.763	105	0.369597575197068
ZNF263	0.36	0.196	0.57	683	0.311438031034586
LRPPRC	0.203	-0.226	0.336	1394	0.328929181163807
FRY	0.278	0.02	0.471	3013	0.316089028124186
CDH15	0.589	0.627	0.798	814	0.318861249515438
PDIA6	0.275	-0.059	0.437	492	0.322145421068483
TRAP1	0.508	0.489	0.723	704	0.335681880998032
OPTN	0.284	-0.01	0.461	577	0.33616746236694
BCAP31	0.405	0.324	0.637	313	0.364420460223945
NAMPT	0.2	-0.278	0.322	491	0.328271548778607
CELA3A	0.493	0.455	0.711	270	0.333502962876144
RBM12	0.212	-0.321	0.304	932	0.293698360368491
YAF2	0.282	-0.119	0.417	204	0.307729413563384
ARFRP1	0.577	0.613	0.793	201	0.36435572658287
CDH16	0.453	0.376	0.667	829	0.321682187878417
TOB1	0.268	-0.111	0.416	345	0.347394754296382
MMP24OS	0.702	0.773	0.882	71	0.309254575710123
AKAP9	0.169	-0.361	0.268	3907	0.325005120761433
CLEC3A	0.343	0.17	0.553	206	0.355361369969623
FAM13A	0.278	-0.026	0.45	1023	0.323774335517269
G3BP1	0.24	-0.197	0.368	466	0.31523193520469
SUGP2	0.314	0.071	0.505	1096	0.320899797911744
EBI3	0.539	0.536	0.751	229	0.317293733725266
ADGRG2	0.26	-0.066	0.429	1017	0.319153897599923
CDH17	0.263	-0.091	0.419	832	0.324885501229703
MBNL2	0.252	-0.126	0.406	373	0.316104276225737
ABI2	0.26	-0.186	0.376	513	0.312281696986251
CEBPZ	0.206	-0.287	0.317	1054	0.331841693232129
PLXNC1	0.334	0.161	0.551	1568	0.329123563865286
TRIM28	0.493	0.412	0.69	835	0.338362008429442
RASA4	0.657	0.716	0.847	803	0.33811991399968
RASA4B	0.657	0.716	0.847	803	0.33811991399968
AASS	0.214	-0.212	0.348	926	0.32179503048637
PDZK1IP1	0.473	0.437	0.701	114	0.321734505747941
ATP6AP2	0.235	-0.128	0.391	350	0.321077842858365
CDH18	0.25	-0.134	0.395	790	0.318752048139921
FARP1	0.419	0.324	0.638	1076	0.330064477950202
LPAR6	0.199	-0.244	0.331	344	0.323508640635858
LPCAT3	0.4	0.322	0.632	487	0.350983684007592
WASF2	0.307	-0.07	0.438	498	0.307499770500673
CHST4	0.454	0.394	0.671	386	0.342799756275358
SLC25A13	0.23	-0.189	0.366	676	0.325058587661863
SLC25A15	0.308	0.076	0.507	301	0.34292241920503
ZNF197	0.255	-0.129	0.4	1029	0.3305685907519
SERF2	0.336	0.114	0.524	170	0.29370486574623
CDK2	0.352	0.175	0.554	298	0.333237189676338
DHRS9	0.245	-0.112	0.401	379	0.321771781668499
RCL1	0.279	0.035	0.475	373	0.309716614641598
ZNF256	0.249	-0.159	0.388	627	0.315058919726972
SORBS3	0.514	0.471	0.718	671	0.312099889721205
CNIH1	0.283	0.012	0.462	144	0.327146508087605
TENM1	0.267	-0.069	0.429	2732	0.318314860262735
RBM7	0.215	-0.308	0.311	267	0.286199574070495
CDK3	0.548	0.518	0.738	305	0.343516562880865
RBM6	0.252	-0.184	0.371	1123	0.309000230267368
RBM5	0.3	-0.023	0.458	815	0.334980656096129
LHFPL2	0.413	0.331	0.641	228	0.350255754398676
LHFPL6	0.404	0.266	0.608	200	0.34767642069179
TNK2	0.597	0.601	0.786	1086	0.31826250893704
ALYREF	0.426	0.327	0.639	264	0.317428797101645
CDK4	0.328	0.084	0.507	303	0.307539295022561
TXNDC9	0.215	-0.248	0.332	226	0.318618409791253
PANO1	0.435	0.387	0.665	215	0.258310737089375
CCDC182	0.482	0.467	0.709	153	0.351056426397937
HSFX4	0.337	0.071	0.508	333	0.327727319268046
C21orf140	0.253	-0.087	0.413	251	0.331529060347055
PIGBOS1	0.157	-0.482	0.212	54	0.344228521673183
MEI4	0.195	-0.278	0.309	385	0.319994088772938
ARMH2	0.238	-0.173	0.372	230	0.351865722717018
ETDA	0.38	0.238	0.582	59	0.314339449401238
HSFX3	0.335	0.065	0.505	333	0.325752835282818
MYMX	0.478	0.497	0.707	84	0.296202642410636
TEX51	0.322	0.12	0.519	166	0.323127808231668
PRAMEF27	0.361	0.246	0.586	478	0.336502928651375
RNF41	0.411	0.292	0.621	317	0.353798451707702
TSHZ1	0.551	0.537	0.757	1077	0.342116702942002
ALG3	0.515	0.527	0.74	438	0.330633462897581
PRMT3	0.22	-0.217	0.355	531	0.321894799657125
PSME3	0.291	0.025	0.469	267	0.330408821369034
MPHOSPH9	0.193	-0.332	0.293	1183	0.307143338283143
MPHOSPH10	0.209	-0.266	0.329	681	0.33080341089126
ADAM10	0.206	-0.337	0.292	748	0.321938275024816
CDK5	0.44	0.349	0.649	292	0.341222916754735
MPHOSPH6	0.212	-0.22	0.344	160	0.327141036378601
NME6	0.361	0.187	0.559	194	0.313912230763492
DHRS2	0.434	0.36	0.655	300	0.33566704666532
CALCRL	0.22	-0.182	0.362	461	0.337829260908635
NUTF2	0.366	0.244	0.597	127	0.365954431044278
