external_gene_name	CAI	CBI	Fop	L_aa	tAI
Gm1979	0.445	0.09	0.51	267	0.164975654420251
Gm1993	0.304	-0.365	0.283	212	0.149331949188858
Mup10	0.336	-0.176	0.364	180	0.153103556688505
Mup11	0.34	-0.16	0.371	181	0.152698043212191
Gm2012	0.297	-0.396	0.268	212	0.148696712614886
Eif1ad3	0.315	-0.333	0.281	144	0.156134217607486
Gm10471	0.461	0.115	0.525	252	0.166501664570006
Mup12	0.34	-0.168	0.368	180	0.153318601491421
Gm2026	0.31	-0.432	0.251	498	0.149596399543713
Gm2030	0.304	-0.363	0.283	212	0.14906962492953
Gm2042	0.347	-0.091	0.402	496	0.154988222696572
Mup13	0.343	-0.161	0.374	235	0.147626462436463
Mup14	0.34	-0.155	0.374	180	0.153115615314463
Gm14525	0.295	-0.406	0.263	212	0.146425175447745
Gm14295	0.376	-0.125	0.4	64	0.150860150582567
Ccdc152	0.301	-0.247	0.322	254	0.152371621126351
Mup15	0.333	-0.179	0.362	180	0.151984265534184
Mup16	0.333	-0.189	0.356	180	0.152752599536922
Mup17	0.339	-0.158	0.374	180	0.153105005443883
Gm10058	0.297	-0.396	0.269	212	0.146861666468026
Pramel51	0.349	-0.078	0.41	520	0.15556953753264
H2ab1	0.519	0.294	0.604	115	0.148584514382547
Gm10147	0.297	-0.396	0.269	212	0.146861666468026
Gm10096	0.297	-0.396	0.269	212	0.146861666468026
Gm10487	0.297	-0.396	0.269	212	0.146861666468026
Gm10486	0.297	-0.396	0.269	212	0.146861666468026
Tgif2lx2	0.443	0.054	0.502	231	0.163706373401453
Gm20806	0.412	0.076	0.507	227	0.157855389382467
Gm14819	0.297	-0.396	0.269	212	0.146861666468026
Tcf24	0.63	0.538	0.753	166	0.157054231911015
Gm20809	0.411	0.086	0.511	227	0.158541685915476
Msmp	0.494	0.169	0.564	139	0.181046265436938
Mthfsl	0.461	0.224	0.582	203	0.160047990721924
Gm20815	0.417	0.085	0.511	227	0.158522110099447
Hrct1	0.479	0.335	0.635	109	0.150387771910799
Ildr2	0.568	0.418	0.69	661	0.162998107915604
Tgtp2	0.394	-0.05	0.44	415	0.155444836296891
Cldn24	0.48	0.274	0.608	220	0.164178117063467
Gm20816	0.413	0.085	0.511	227	0.159674343725032
Ccl27a	0.427	0.151	0.535	135	0.146531583712065
Gm13306	0.427	0.151	0.535	135	0.146531583712065
Gm15093	0.3	-0.288	0.305	449	0.132170483325001
Rhox2b	0.431	0.047	0.497	191	0.159767553189509
Gm15085	0.3	-0.288	0.305	449	0.132128843307732
Rhox2c	0.429	0.062	0.503	191	0.160544381530408
Gfy	0.481	0.16	0.556	504	0.138282492660632
Tmem35b	0.488	0.301	0.621	150	0.162236408704941
Rhox2e	0.434	0.059	0.503	191	0.159226546827956
Gm20822	0.399	0.025	0.48	228	0.156757557895147
Gm20823	0.406	0.079	0.507	227	0.158217220496261
Ccl27a	0.422	0.195	0.557	120	0.14831993136253
Ccl27b	0.422	0.195	0.557	120	0.14831993136253
Gm20826	0.405	0.059	0.498	227	0.157248453917885
Gm10229	0.511	0.077	0.526	77	0.196144191120575
Gm2663	0.412	-0.015	0.462	247	0.173124809447141
Gm10228	0.538	0.143	0.558	78	0.195648455135212
Gm20831	0.398	0.006	0.466	232	0.158374196031551
Gm10334	0.556	0.303	0.632	246	0.185985943835839
Gm11563	0.699	0.534	0.759	168	0.261579397239648
Or13c7c	0.584	0.517	0.738	318	0.164733762055421
Gm11595	0.657	0.421	0.698	289	0.276416934400183
Mndal	0.368	-0.172	0.386	538	0.158925464199614
Btbd35f2	0.302	-0.26	0.315	498	0.145701013921869
Dynlt1f	0.49	0.25	0.607	113	0.165935139767453
Btbd35f5	0.301	-0.262	0.313	498	0.145770527842072
Dynlt1c	0.49	0.25	0.607	113	0.165935139767453
Kcnj13	0.375	-0.098	0.412	360	0.145782096155905
Potefam3a	0.345	-0.175	0.37	350	0.145530284428567
Btbd35f12	0.3	-0.263	0.313	498	0.145214589380361
Fancf	0.626	0.629	0.795	343	0.160231500388996
Gm15023	0.339	-0.143	0.374	467	0.15334553362861
Gm2897	0.398	-0.004	0.453	172	0.159603184794824
Btbd35f15	0.3	-0.268	0.311	498	0.145704519956045
Btbd35f13	0.302	-0.268	0.311	498	0.145912075490137
Btbd35f14	0.299	-0.272	0.309	498	0.14569952267751
Mroh2a	0.543	0.383	0.666	1671	0.167983244714868
Gm20852	0.417	0.085	0.511	227	0.157562790833638
Cyp4a32	0.44	0.127	0.529	509	0.153751619721114
Gm13040	0.406	0.047	0.48	496	0.160232593040977
Gm13057	0.406	0.047	0.48	496	0.160232593040977
Gm16405	0.306	-0.339	0.293	155	0.146827796912046
Gm16430	0.306	-0.339	0.293	155	0.146827796912046
Gm20854	0.413	0.085	0.511	227	0.157860014437014
Cldn34b1	0.362	-0.028	0.441	209	0.154396783972473
Tceal7	0.332	-0.275	0.316	98	0.154930750651536
Gm13102	0.392	0.026	0.467	500	0.149302291405304
Mfsd4b3-ps	0.387	-0.045	0.44	355	0.149123994004544
Iqcf6	0.458	0.21	0.57	157	0.158825817155346
Pramel42	0.399	0.044	0.481	481	0.155838041326786
Gm3002	0.392	-0.025	0.441	172	0.158120651461972
Or52e19	0.354	-0.05	0.423	312	0.147250447928581
Gm20865	0.412	0.076	0.507	227	0.159822132784156
H4c17	0.74	0.728	0.851	103	0.168867722550097
Gm16513	0.398	0.04	0.479	481	0.155864838473747
Gm20867	0.41	0.076	0.507	227	0.159212271280953
Gm3238	0.679	0.484	0.736	230	0.256083608667303
Pramel47	0.382	-0.007	0.456	475	0.152906495320717
Gm3264	0.399	-0.004	0.453	172	0.16008270277252
Tcp10c	0.454	0.093	0.519	482	0.158431951736724
Gm3286	0.393	0.03	0.473	481	0.156309027577244
Cyp3a41b	0.363	-0.12	0.401	504	0.148001662956282
Zfp980	0.33	-0.313	0.309	645	0.167673425785354
Gm11938	0.718	0.509	0.744	131	0.238001712958775
Zfp981	0.347	-0.267	0.336	445	0.16882514524722
Cyp3a59	0.383	-0.073	0.421	503	0.148635059777125
Gm11937	0.726	0.538	0.76	131	0.236645375336766
Gm3376	0.286	-0.426	0.233	380	0.136283084282068
Ly6c2	0.442	0.077	0.5	131	0.183920617040051
Gm3402	0.428	0.006	0.472	315	0.156674105739056
Gm20877	0.404	0.033	0.482	227	0.156060263547895
Gm3404	0.431	0.027	0.482	307	0.154995845343788
Gm3409	0.426	0.016	0.476	315	0.157831922776996
9030025P20Rik	0.364	-0.047	0.43	438	0.149372574249577
Gm3415	0.428	0.013	0.476	315	0.157420439229265
Gm20878	0.513	0.341	0.634	87	0.152443774943997
Zkscan16	0.399	-0.028	0.454	728	0.161008901817769
Amd2	0.383	-0.117	0.408	334	0.150954550674652
Dynlt2a3	0.315	-0.243	0.335	191	0.146550500968949
Gal3st2b	0.577	0.418	0.686	394	0.160860681188379
Gm3435	0.366	-0.048	0.43	438	0.150977739801839
Dynlt2a2	0.315	-0.241	0.335	191	0.146287129976836
Mup7	0.352	-0.136	0.388	235	0.149748835100973
Zfp984	0.348	-0.272	0.331	547	0.164221254555311
Gm3500	0.377	-0.07	0.417	205	0.154708887095798
Mup8	0.352	-0.144	0.383	235	0.149180936549793
Defa35	0.371	-0.034	0.446	93	0.16450796130057
Defa41	0.373	-0.037	0.446	93	0.170303840860858
Defa40	0.369	-0.052	0.433	93	0.163798155222928
Gm10408	0.38	-0.022	0.444	218	0.155019600397204
Gm3558	0.381	-0.054	0.424	205	0.1560243707936
Defa32	0.419	0.086	0.511	95	0.163818839094035
Defa37	0.371	-0.034	0.446	93	0.166945122798791
Defa34	0.356	-0.051	0.435	93	0.163351701584504
Sap18b	0.511	0.338	0.644	172	0.15724878013087
Gm3604	0.293	-0.482	0.224	559	0.147536331635318
Gm10377	0.398	0.021	0.469	184	0.169487737349904
Gm3646	0.396	-0.176	0.388	53	0.143020654084149
Gm10488	0.297	-0.394	0.269	212	0.147360854343081
Gm14632	0.297	-0.396	0.269	212	0.146861666468026
Gm3696	0.376	-0.057	0.423	203	0.160374494847118
Nrg2	0.646	0.599	0.787	857	0.163235266224743
Btbd35f16	0.3	-0.262	0.313	498	0.146053601285695
Thoc2l	0.301	-0.311	0.299	1589	0.15028501245043
Btbd35f3	0.301	-0.259	0.314	496	0.145203410785939
Gm10230	0.297	-0.396	0.269	212	0.146861666468026
Btbd35f4	0.301	-0.259	0.314	496	0.145203410785939
Btbd35f27	0.299	-0.267	0.311	498	0.145344059545628
Gsta5	0.434	0.135	0.531	222	0.16348943231289
Gm10375	0.424	0.094	0.506	169	0.17246830339796
Gm20917	0.411	0.078	0.507	227	0.157619493768025
Vmn1r79	0.331	-0.119	0.389	306	0.139494993098144
Smim17	0.478	0.229	0.594	109	0.160414706750025
Nhsl2	0.466	0.133	0.539	1219	0.147751682319461
Ccl21b	0.502	0.25	0.598	133	0.174972580749936
Vmn2r55	0.441	0.135	0.536	781	0.15614640122831
Sprr2a3	0.501	-0.059	0.462	83	0.18586071603995
Gm13305	0.467	0.144	0.542	432	0.154615364653693
Vmn2r31	0.341	-0.167	0.376	861	0.149190864863759
Vmn2r34	0.342	-0.162	0.376	852	0.14796412118408
Vmn2r36	0.345	-0.163	0.377	852	0.147855085019209
Or4x18	0.412	0.127	0.526	309	0.151170793508341
Tdpoz7	0.436	0.078	0.508	340	0.162126769423051
Eif1ad6	0.312	-0.326	0.283	144	0.156213132819801
Vmn2r40	0.342	-0.163	0.376	852	0.147518515563797
Fthl17d	0.615	0.513	0.741	176	0.181710054012158
Prdm11	0.529	0.304	0.628	565	0.173176854364831
Ubl5b	0.446	0.116	0.522	73	0.181840514874042
Eif3j2	0.343	-0.146	0.4	263	0.160761319692551
Vmn2r45	0.341	-0.163	0.376	852	0.147873634694872
H2al2b	0.376	-0.029	0.444	111	0.144668803071823
Vmn2r41	0.342	-0.164	0.375	852	0.147481294587412
Gm4064	0.285	-0.425	0.233	380	0.136755077039631
Gm10267	0.278	-0.276	0.305	85	0.145813155507964
Gvin2	0.343	-0.159	0.377	2427	0.150732816174574
Gm10256	0.285	-0.425	0.233	380	0.136632753357955
Gm10352	0.285	-0.425	0.233	380	0.136632753357955
Vmn2r47	0.344	-0.163	0.377	852	0.148158121465558
Vmn2r46	0.342	-0.172	0.375	809	0.149204412239768
Vmn2r51	0.338	-0.164	0.375	852	0.147802520319266
H2al1a	0.416	0.13	0.524	105	0.14061115763689
H2al1b	0.407	0.112	0.515	105	0.140984741312599
H2al1c	0.416	0.13	0.524	105	0.14061115763689
H2al1d	0.416	0.13	0.524	105	0.14061115763689
H2al1f	0.416	0.13	0.524	105	0.14061115763689
H2al1g	0.416	0.13	0.524	105	0.14061115763689
H2al1h	0.416	0.13	0.524	105	0.14061115763689
H2al1i	0.416	0.13	0.524	105	0.14061115763689
Vmn1r243	0.337	-0.127	0.392	307	0.141445130685213
Vmn1r101	0.35	-0.096	0.41	307	0.145662277486368
Gm10670	0.346	-0.125	0.39	321	0.143560717079238
Vmn1r246	0.347	-0.115	0.397	306	0.145171801276441
Vmn1r114	0.342	-0.116	0.394	321	0.143326390452403
Vmn1r126	0.34	-0.123	0.39	321	0.14316780192449
Vmn1r131	0.349	-0.099	0.403	306	0.146159338461756
Vmn1r247	0.342	-0.126	0.389	314	0.143062948091254
Vmn1r248	0.345	-0.093	0.408	305	0.144328594528555
Vmn1r138	0.349	-0.099	0.403	306	0.146159338461756
Gm16451	0.345	-0.102	0.406	307	0.143656296841009
Rex2	0.338	-0.298	0.317	685	0.169402262515964
Vmn1r250	0.345	-0.113	0.395	321	0.14357694297274
Vmn1r253	0.337	-0.127	0.392	307	0.141445130685213
Vmn1r149	0.35	-0.096	0.41	307	0.145914654053137
Tmem207	0.331	-0.277	0.316	143	0.154227493821733
Gm10665	0.346	-0.125	0.39	321	0.143560717079238
Vmn1r256	0.347	-0.115	0.397	306	0.145171801276441
Vmn1r158	0.351	-0.095	0.41	307	0.145019309889241
Vmn1r258	0.342	-0.126	0.389	314	0.143062948091254
Vmn1r259	0.345	-0.093	0.408	305	0.144328594528555
Vmn1r166	0.349	-0.099	0.403	306	0.146159338461756
Vmn1r168	0.343	-0.134	0.386	309	0.147359155483637
Vmn1r169	0.347	-0.118	0.392	304	0.148316090115071
Cyp2c69	0.381	-0.102	0.41	491	0.149885083909928
Cd300ld4	0.476	0.147	0.545	245	0.15946689280603
Cd300ld5	0.475	0.139	0.541	245	0.159165095758766
9130023H24Rik	0.483	0.171	0.56	337	0.164808904004357
Spopfm2	0.426	0.041	0.488	357	0.157842130638857
Sult2a2	0.365	-0.092	0.417	194	0.142455179505967
Or10u4	0.416	0.038	0.48	320	0.154011299290854
Gm4297	0.293	-0.395	0.266	211	0.14353473341071
Gm4302	0.464	0.104	0.525	294	0.164106335784409
Gm4303	0.457	0.088	0.516	289	0.163394969246253
Gm4305	0.457	0.088	0.516	289	0.163394969246253
Gm4307	0.457	0.088	0.516	289	0.163394969246253
Nps	0.399	0.137	0.529	89	0.147669207252449
Esp16	0.279	-0.331	0.269	85	0.134365761661429
Tigit	0.427	0.094	0.519	241	0.155763808771832
Scgb2b3	0.376	-0.135	0.4	112	0.158180789168926
Ankrd66	0.416	0.062	0.495	192	0.166358051083522
Gm14308	0.31	-0.432	0.251	498	0.149596399543713
Gm14305	0.312	-0.429	0.253	498	0.149915516446435
Hsd3b8	0.488	0.183	0.561	373	0.164950130369886
Zfp955b	0.352	-0.224	0.356	545	0.161063723808789
Or10h5	0.491	0.275	0.606	318	0.149094609161095
Nat8f7	0.457	0.242	0.586	227	0.152079761127951
Vmn1r242	0.349	-0.099	0.403	306	0.14648045968329
Vmn1r100	0.35	-0.102	0.405	307	0.147271548619213
Vmn1r112	0.348	-0.104	0.406	297	0.147510526798218
Vmn1r130	0.357	-0.091	0.412	307	0.147583524271256
Srcap	0.393	-0.103	0.413	3271	0.146678932722582
Vmn1r132	0.347	-0.106	0.404	297	0.147437159434806
Vmn1r137	0.357	-0.091	0.412	307	0.147583524271256
Gm4559	0.645	0.405	0.702	199	0.310767698935923
Gm4565	0.443	0.112	0.519	301	0.15736060193882
Gm4567	0.448	0.133	0.531	301	0.156947861973273
Gm10662	0.469	0.17	0.55	313	0.159636222063396
Vmn1r165	0.357	-0.091	0.412	307	0.147583524271256
Amy2a4	0.355	-0.222	0.354	508	0.157665712646443
Amy2a3	0.355	-0.222	0.354	508	0.157665712646443
Amy2a2	0.355	-0.222	0.354	508	0.157665712646443
Zfp831	0.446	0.076	0.51	1628	0.153876121084302
Zfp850	0.346	-0.202	0.363	689	0.158298676016036
Rps27rt	0.448	0.073	0.512	84	0.168344174519094
Scgb2b7	0.336	-0.142	0.38	112	0.150363766495813
Scgb2b11	0.32	-0.176	0.361	112	0.145411917830336
Scgb2b18	0.327	-0.162	0.37	112	0.144558088711938
Scgb1b24	0.34	-0.229	0.341	92	0.159779055616254
Klrb1	0.316	-0.225	0.341	214	0.153799033947788
Scgb1b30	0.37	-0.083	0.422	92	0.161230942470655
R3hdml	0.577	0.401	0.681	253	0.173332615257737
Gm4724	0.31	-0.432	0.251	498	0.149596399543713
Zfp969	0.31	-0.432	0.251	498	0.149596399543713
Tgfbr3l	0.491	0.223	0.58	297	0.145913121084739
Rnf223	0.513	0.232	0.591	255	0.161089493556612
Ect2l	0.394	0.038	0.478	911	0.15001391761903
Cfap43	0.421	0.088	0.511	1682	0.159493525280124
Pet117	0.437	0.189	0.551	80	0.166030490466476
Ddx43	0.305	-0.261	0.322	646	0.141322024407483
Mup18	0.341	-0.16	0.371	181	0.153250826828108
Lrrc19	0.339	-0.146	0.379	364	0.142543599749994
Cyp2j11	0.393	-0.027	0.445	504	0.152146365169904
Camta1	0.56	0.391	0.678	1682	0.164354590800878
Yy2	0.401	-0.087	0.431	378	0.158285458568571
Kti12	0.565	0.458	0.708	351	0.159819841450405
Rcc1	0.503	0.291	0.625	434	0.163986781843554
Zbtb48	0.568	0.372	0.668	681	0.175680999125798
Srp54c	0.316	-0.291	0.314	504	0.150815499139525
Fam177a2	0.466	0.172	0.566	207	0.160402613867417
Dnah7c	0.373	-0.066	0.425	4024	0.153973648764266
Pcsk9	0.56	0.391	0.673	694	0.169767646948892
Adat3	0.569	0.412	0.686	349	0.161233829891277
Tdrd7	0.445	0.125	0.534	1119	0.16324284948366
Vmn2r2	0.361	-0.148	0.384	824	0.154473366651093
Krt83	0.63	0.466	0.715	479	0.190767377710317
Esp36	0.271	-0.377	0.257	117	0.136963769765181
Esp3	0.357	-0.131	0.395	87	0.153278334908681
Esp31	0.302	-0.227	0.333	114	0.141716992154917
Esp34	0.284	-0.284	0.304	83	0.137288560917462
Esp18	0.295	-0.289	0.291	91	0.14619237487231
Esp38	0.267	-0.331	0.276	80	0.134204080454452
Esp24	0.315	-0.224	0.339	68	0.141392114380914
Esp4	0.332	-0.24	0.339	117	0.149543268066184
Esp8	0.33	-0.181	0.369	149	0.1512022400319
Esp23	0.304	-0.274	0.31	104	0.140750401495722
Sco2	0.5	0.242	0.589	255	0.158007762611729
Gpr153	0.614	0.542	0.754	631	0.160033138426232
Rhox3c	0.365	-0.118	0.4	215	0.152252666585021
Rhox3e	0.366	-0.12	0.4	215	0.152609251715687
Pafah2	0.52	0.292	0.623	415	0.163684048473572
Phactr4	0.429	0	0.469	694	0.151542243835351
Zmym6	0.348	-0.167	0.377	1249	0.155878687087756
Akna	0.491	0.199	0.575	1404	0.152914351102875
Mup19	0.335	-0.179	0.362	180	0.152466126498704
Krtap10-4	0.696	0.515	0.752	221	0.253924977575407
H6pd	0.585	0.452	0.705	797	0.162821870170433
Tmem64	0.54	0.457	0.707	381	0.161642586347025
Adprs	0.578	0.448	0.708	370	0.169002639234632
Gpn2	0.661	0.625	0.798	310	0.178648375100323
Rusc2	0.54	0.327	0.644	1523	0.159442446204596
Gm14124	0.288	-0.494	0.215	715	0.152762866548633
Ttll2	0.469	0.232	0.587	540	0.157468173830178
Stx12	0.42	0.164	0.549	274	0.156365611874925
Gon7	0.44	0.103	0.531	98	0.165144848256112
Gm17359	0.404	0.038	0.483	189	0.151760720135202
Gm10778	0.307	-0.466	0.232	499	0.15850941142188
Btbd18	0.395	-0.042	0.445	723	0.150362222430695
Gm17660	0.421	0.038	0.472	90	0.144747631897533
Osbpl9	0.383	-0.05	0.442	746	0.153294921392944
Alkal2	0.457	0.307	0.616	151	0.157368853078369
Defa2	0.418	0.086	0.511	95	0.164374915653116
Gm17455	0.562	0.332	0.633	128	0.163947825266982
Zfp967	0.308	-0.437	0.248	485	0.147545626277487
Sprr2a2	0.508	-0.008	0.487	83	0.184806778299006
Dynlt1a	0.49	0.25	0.607	113	0.165935139767453
Vmn1r2	0.338	-0.099	0.4	306	0.141441777712452
Vmn1r3	0.336	-0.111	0.395	306	0.140957252948267
Vmn1r86	0.349	-0.064	0.421	316	0.136665661256741
Vmn1r88	0.339	-0.075	0.416	316	0.133945750230338
Vmn1r95	0.358	-0.091	0.412	307	0.147944481017093
Vmn1r238	0.334	-0.11	0.396	306	0.139268330301945
Vmn1r184	0.322	-0.12	0.385	314	0.140224522301628
Vmn1r196	0.309	-0.139	0.37	301	0.143514390210717
Pate8	0.341	-0.193	0.365	109	0.167811432978075
Pate10	0.354	-0.177	0.372	116	0.15463180671274
Pate3	0.421	0.084	0.505	98	0.165798740094593
Pate7	0.304	-0.427	0.243	109	0.160132652412206
Pate1	0.358	-0.098	0.415	125	0.181248648979746
AU040320	0.508	0.248	0.602	1085	0.161945359145031
Dthd1	0.344	-0.157	0.383	795	0.147071574239219
Il4i1	0.565	0.435	0.698	638	0.165133521599811
Ppp1r8	0.5	0.228	0.589	351	0.1650911151834
Smpdl3b	0.524	0.34	0.648	456	0.158636543702346
Tent5b	0.629	0.539	0.751	427	0.164979380549563
Bsdc1	0.498	0.191	0.578	427	0.163301461233774
Gm37013	0.471	0.187	0.567	919	0.159142982457113
Gm11559	0.769	0.627	0.81	191	0.284303480118945
Zfp729b	0.336	-0.269	0.333	1045	0.163473635060392
Slc44a1	0.414	0.087	0.503	653	0.158781705217637
Gm20594	0.295	-0.16	0.361	37	0.148960459983125
Mob3c	0.594	0.441	0.699	216	0.162750872659112
Lao1	0.513	0.306	0.627	523	0.160922864146485
Zfand2a	0.511	0.18	0.569	171	0.184964311047552
Rubcn	0.547	0.356	0.655	956	0.16705542127924
Tsga8	0.434	-0.181	0.401	238	0.172412675311918
Gm19345	0.465	0.232	0.591	124	0.145179103450783
Kifc1	0.493	0.227	0.584	674	0.159802053621801
Gm11562	0.748	0.569	0.776	136	0.244844484944206
Gm19402	0.684	0.507	0.747	266	0.247607607459568
Epg5	0.447	0.159	0.547	2572	0.158979796355117
Ccdc13	0.532	0.338	0.643	709	0.167320223920387
2300003K06Rik	0.605	0.339	0.659	262	0.23735128860373
Kcnmb3	0.489	0.26	0.603	239	0.158683663928163
Or2t49	0.496	0.292	0.617	324	0.155431073554632
Gm10142	0.598	0.348	0.667	120	0.228875267274515
E330021D16Rik	0.419	0.094	0.515	371	0.152398758481503
Pou2af3	0.498	0.141	0.553	239	0.156134484439734
Gm3336	0.458	0.115	0.531	198	0.141527091994066
Gm10100	0.616	0.387	0.686	120	0.225194151661456
Speer4c	0.448	0.137	0.535	256	0.162666615498903
1700015G11Rik	0.364	-0.188	0.359	67	0.150883942799071
Pdzd7	0.524	0.331	0.639	1021	0.155269829621687
Armcx4	0.366	-0.207	0.376	2356	0.164232086966984
Klhl3	0.55	0.384	0.672	640	0.171274803613579
Btbd8	0.346	-0.099	0.408	377	0.152441218784283
Trpc5os	0.323	-0.125	0.389	110	0.147714087919079
Pifo	0.376	-0.215	0.362	246	0.150750424007234
Gm14440	0.35	-0.225	0.35	64	0.146213765678238
Zfp648	0.573	0.404	0.685	525	0.171418045749398
Tmem95	0.471	0.23	0.584	176	0.174912638414439
Tpbgl	0.643	0.648	0.805	384	0.160152016517776
Gm19668	0.627	0.382	0.683	248	0.240753942366512
Or8g22	0.364	-0.036	0.43	267	0.152268386446569
Nuggc	0.44	0.137	0.53	812	0.162560939687389
Gm10354	0.446	0.134	0.533	256	0.16372071156655
Bbip1	0.357	-0.096	0.419	67	0.151234931207245
Fsbp	0.335	-0.136	0.386	299	0.147232511009451
Zfp534	0.332	-0.316	0.305	661	0.166330301530834
Hbb-bs	0.578	0.32	0.641	147	0.186128866723067
Lnp1	0.401	-0.03	0.453	178	0.148946187861994
Cbarp	0.55	0.344	0.653	698	0.156957100645565
Rpl5	0.417	-0.05	0.442	297	0.16845248674116
Gng14	0.562	0.304	0.629	72	0.179367374834463
Gm5901	0.446	0.135	0.533	333	0.142666606672261
Ccdc149	0.49	0.225	0.583	524	0.170892612365342
Pet100	0.516	0.363	0.657	76	0.166872241765341
Smpd5	0.481	0.291	0.614	483	0.151991473863335
Zfp965	0.316	-0.384	0.272	318	0.148430078836989
Gm11007	0.316	-0.384	0.272	318	0.148430078836989
AY761185	0.452	0.077	0.522	94	0.185330801686645
Acp4	0.528	0.3	0.618	425	0.160421064828172
Gm6040	0.411	0.079	0.5	63	0.161936402757091
Gm15056	0.427	0.008	0.463	88	0.17709838317327
Ccer2	0.559	0.38	0.67	274	0.178684413971536
Fam181a	0.55	0.336	0.645	292	0.162514930719032
Prss51	0.431	0.122	0.527	240	0.162062031293749
Cmtm1	0.372	-0.077	0.421	303	0.133988529341517
Krtap16-1	0.544	0.18	0.577	502	0.2092913451485
Mptx2	0.383	-0.046	0.443	219	0.154072308320852
Ccdc170	0.433	0.113	0.522	716	0.171735274139106
Gm10591	0.502	0.25	0.598	133	0.174972580749936
2210418O10Rik	0.315	-0.4	0.264	134	0.150297229715078
Abhd12b	0.391	-0.014	0.455	359	0.156583145116609
Gm13304	0.502	0.25	0.598	133	0.174972580749936
Cypt14	0.35	-0.209	0.36	87	0.180110631175028
Spin2d	0.4	0.007	0.465	236	0.156705003921965
Prr22	0.558	0.305	0.633	422	0.158802610414471
Smlr1	0.483	0.296	0.603	66	0.152687793599958
Dcdc2b	0.49	0.194	0.573	287	0.160420583956723
3425401B19Rik	0.461	0.096	0.525	1412	0.152959218074203
Eef1akmt3	0.565	0.405	0.68	232	0.160437228723229
Atg14	0.485	0.223	0.584	492	0.164806853047362
Plscr5	0.409	-0.026	0.453	274	0.158039890861188
Nat8f6	0.462	0.256	0.592	226	0.152659463448798
Tmppe	0.532	0.397	0.672	447	0.157930469036352
Defa33	0.418	0.086	0.511	95	0.164374915653116
Iqschfp	0.502	0.277	0.616	559	0.16041473698871
Zfp518b	0.438	0.081	0.513	1082	0.160812268810537
Gm11127	0.507	0.233	0.594	374	0.166517380746221
Rell1	0.461	0.197	0.577	272	0.158813263540111
Fer1l5	0.521	0.314	0.633	2038	0.160806995224058
Oas1d	0.496	0.264	0.603	361	0.16186391208102
AA792892	0.407	0.036	0.479	278	0.156377621691086
Ugt2b38	0.334	-0.204	0.355	530	0.146034755090219
Slc15a4	0.555	0.431	0.691	574	0.160024571901839
Lrrc8c	0.56	0.435	0.695	803	0.16787906774024
Noc4l	0.556	0.402	0.676	516	0.162709070299088
Nsun5	0.502	0.286	0.615	465	0.165015862296716
N4bp2l1	0.465	0.238	0.59	238	0.147327837864731
Upk3b	0.557	0.361	0.656	276	0.159027575909482
Psph	0.459	0.118	0.528	225	0.161689182006918
Trrap	0.538	0.349	0.65	3847	0.166728833490174
Spon2	0.506	0.233	0.593	330	0.158841329402562
Gbp6	0.448	0.115	0.527	611	0.167029880812
Acacb	0.59	0.464	0.712	2448	0.167891065897705
Pds5b	0.349	-0.179	0.368	1448	0.153511459393394
Tent2	0.319	-0.214	0.342	484	0.141969178443034
Ugt2b34	0.387	-0.023	0.45	532	0.152756434356866
